title,url
Transdisciplinary Science,https://scholar.google.com/citations?user=PR6KaQQAAAAJ
Computational Genomics,https://doi.org/10.1093/hmg/ddab294
AI & Machine Learning,https://doi.org/10.1002/alz.13479
Scientific Entrepreneurship,https://www.120over80mktg.com/
Open-Source Development,https://doi.org/10.1038/s41467-023-44484-5
Genome-Phenome AI,https://doi.org/10.13140/RG.2.2.12144.26880
Rare Disease Therapeutics,https://doi.org/10.1101/2023.02.13.23285820
Transcriptomics,https://doi.org/10.1038/s41588-021-00976-y
Evolutionary Biology,https://doi.org/10.64898/2026.01.17.700094
Multi-Omic Medicine,https://doi.org/10.1016/j.nbd.2021.105580
Data Visualization,https://github.com/RajLabMSSM/echoplot
Large Language Models,https://doi.org/10.1101/2024.06.10.24308475
Programming,https://github.com/bschilder
Electronic Healthcare Records,https://github.com/bschilder/synthlab
Foundation Models,https://koolab.cshl.edu/
Natural Language Processing,https://github.com/neurogenomics/scNLP
Neuroscience,https://doi.org/10.1038/s41588-021-00976-y
Biological Anthropology,https://doi.org/10.1002/cne.24822
Epigenomics,https://doi.org/10.1093/bioadv/vbad049
Psychiatric Genomics,https://doi.org/10.1038/s41588-021-00857-4
Knowledge Graphs,https://github.com/neurogenomics/KGExplorer
Precision Medicine,https://doi.org/10.1101/2023.02.13.23285820
Single-Cell Genomics,https://doi.org/10.1038/s41587-022-01341-y
Functional Genomics,https://doi.org/10.1093/bioinformatics/btab658
Cancer Genomics,https://doi.org/10.1002/gcc.70041
Developmental Genomics,https://doi.org/10.1101/2025.01.18.633396
Paleoanthropology,https://doi.org/10.1002/cne.24822
Systems Biology,https://doi.org/10.1093/nar/gky458
Biomedical Text Mining,https://doi.org/10.1093/nar/gkz393
Synthetic Data,https://github.com/bschilder/synthlab
